wh_dept_id,wh_name,large_class_code,large_class_name,goods_id,goods_name,mark_type,is_purchase,dt
4001,北京仓库,SC0006,原料,5,干玫瑰花,4,0,2024-01-22
-1,全国,SC0003,轻食,24476,芝芝莓莓大福,3,0,2024-01-22
-1,全国,SC0006,原料,8045,苹果优格味爆爆珠,4,0,2024-01-22
-1,全国,SC0006,原料,28441,焦糖可露丽风味饮料浓浆,4,0,2024-01-22
-1,全国,SC0013,工服类,27901,短袖衬衫-2XL,4,0,2024-01-22
-1,全国,SC0015,零食,20687,圣诞姜饼人糕点,4,0,2024-01-22
-1,全国,SC0013,工服类,27860,SGP-长袖衬衫,4,0,2024-01-22
-1,全国,SC0002,器具类,302,打蛋器（粗线）,3,1,2024-01-22
-1,全国,SC0006,原料,5903,桃汁饮料浓浆,4,0,2024-01-22
-1,全国,SC0004,包装类,25533,16oz冰杯直饮杯盖（PLA）,3,1,2024-01-22
-1,全国,SC0006,原料,4299,草莓汁,4,0,2024-01-22
-1,全国,SC0006,原料,20778,白桃味糖浆,4,0,2024-01-22
-1,全国,SC0003,轻食,808,火腿金枪鱼双拼三明治,4,0,2024-01-22
-1,全国,SC0004,包装类,25316,16oz冰杯直饮杯盖,3,1,2024-01-22
-1,全国,SC0001,办公用品,250,硒鼓,4,0,2024-01-22
-1,全国,SC0002,器具类,13078,1TSP不锈钢长柄量勺,4,0,2024-01-22
-1,全国,SC0003,轻食,11482,土豆烧肉包,4,0,2024-01-22
-1,全国,SC0006,原料,20624,太妃榛果味调味糖浆,4,0,2024-01-22
-1,全国,SC0003,轻食,20526,金枪鱼蛋黄酱脆香饭团,4,0,2024-01-22
-1,全国,SC0006,原料,28163,哥伦比亚瑰夏（零售装）,4,0,2024-01-22
-1,全国,SC0004,包装类,409,12oz冰杯平盖,4,0,2024-01-22
-1,全国,SC0001,办公用品,469,打印机,4,0,2024-01-22
-1,全国,SC0014,日耗品,988,保质期贴纸,4,0,2024-01-22
-1,全国,SC0007,营销物料,28071,广发银行跳跳卡202305,4,0,2024-01-22
-1,全国,SC0001,办公用品,155,胶棒,4,0,2024-01-22
-1,全国,SC0006,原料,11510,有机酸牛奶,4,0,2024-01-22
-1,全国,SC0013,工服类,24574,夏季外卖马甲XL,4,0,2024-01-22
-1,全国,SC0013,工服类,4467,通版长袖衬衫,4,0,2024-01-22
-1,全国,SC0015,零食,10691,无核西梅干,4,0,2024-01-22
-1,全国,SC0014,日耗品,27248,咖啡机牛奶系统清洁药片,3,1,2024-01-22
-1,全国,SC0002,器具类,28449,公示栏,3,1,2024-01-22
-1,全国,SC0006,原料,11559,菊花罗汉果植物饮料,4,0,2024-01-22
-1,全国,SC0006,原料,27486,0卡桂花风味饮料浓浆,4,0,2024-01-22
-1,全国,SC0002,器具类,474,地毯（大）,4,0,2024-01-22
-1,全国,SC0006,原料,8129,NFC菠萝汁饮料,4,0,2024-01-22
-1,全国,SC0006,原料,28085,马斯卡彭风味厚奶,3,0,2024-01-22
-1,全国,SC0006,原料,28446,BIB-冷萃厚牛乳,2,0,2024-01-22
-1,全国,SC0014,日耗品,5980,无痕百洁布,4,0,2024-01-22
-1,全国,SC0001,办公用品,169,A4挂板式文件夹,4,0,2024-01-22
-1,全国,SC0006,原料,8122,轻芝士奶盖牛乳浆料,4,0,2024-01-22
-1,全国,SC0002,器具类,28484,艺康洗手液按压瓶,4,0,2024-01-22
-1,全国,SC0004,包装类,442,杯套,3,1,2024-01-22
-1,全国,SC0006,原料,27199,草莓奶油甜酒风味调味糖浆,4,0,2024-01-22
-1,全国,SC0003,轻食,24203,桂花酪酪大福,4,0,2024-01-22
-1,全国,SC0006,原料,28176,茉莉花干（代用茶）,4,0,2024-01-22
-1,全国,SC0004,包装类,80,单支吸管粗,4,1,2024-01-22
-1,全国,SC0004,包装类,640,不干胶贴纸火腿鲜蔬卷,4,0,2024-01-22
-1,全国,SC0007,营销物料,28178,6月活动窗贴B,4,0,2024-01-22
-1,全国,SC0003,轻食,5833,榛子巧克力起酥,4,0,2024-01-22
-1,全国,SC0013,工服类,27900,贝雷帽大号,3,1,2024-01-22
-1,全国,SC0001,办公用品,27606,14寸笔记本电脑外包装纸箱,3,1,2024-01-22
-1,全国,SC0014,日耗品,13155,咖啡机牛奶系统清洗剂（酸性）100g/瓶,4,0,2024-01-22
-1,全国,SC0007,营销物料,27647,太妃榛香中帆202210,4,0,2024-01-22
-1,全国,SC0004,包装类,4047,BOSS餐包装盒内衬隔断板,4,0,2024-01-22
-1,全国,SC0007,营销物料,25498,自由卡A字架202203,4,0,2024-01-22
-1,全国,SC0006,原料,25806,芝士凝酪,4,0,2024-01-22
-1,全国,SC0007,营销物料,27594,瑰夏中帆202209,4,0,2024-01-22
-1,全国,SC0014,日耗品,599,蒸奶棒清洗液 Schaerer IArt Plus专用,4,0,2024-01-22
-1,全国,SC0006,原料,19763,麦芽威士忌风味糖浆,4,0,2024-01-22
-1,全国,SC0006,原料,23993,日晒花魁咖啡豆,4,0,2024-01-22
-1,全国,SC0014,日耗品,91,保质期贴纸星期五,4,0,2024-01-22
-1,全国,SC0013,工服类,27907,SGP-贝雷帽小号,3,1,2024-01-22
-1,全国,SC0014,日耗品,97,ELITE150易丽150机用催干剂液体,4,0,2024-01-22
-1,全国,SC0007,营销物料,365,玻璃密封罐(2L),4,0,2024-01-22
-1,全国,SC0002,器具类,6050,空桶（污染）,4,0,2024-01-22
-1,全国,SC0006,原料,27601,哥伦比亚蕙兰日晒咖啡豆,4,0,2024-01-22
-1,全国,SC0006,原料,725,荔枝风味果酱,4,0,2024-01-22
-1,全国,SC0003,轻食,19861,巧克力榛子味泡芙,4,0,2024-01-22
-1,全国,SC0004,包装类,260,POS机打印纸,3,1,2024-01-22
-1,全国,SC0004,包装类,25694,90口径 直饮冰杯盖（小鹿茶）PLA,2,1,2024-01-22
-1,全国,SC0007,营销物料,28537,1月上旬活动中帆202401,4,0,2024-01-22
-1,全国,SC0002,器具类,11657,0.5TSP不锈钢长柄量勺,3,1,2024-01-22
-1,全国,SC0006,原料,5896,乌龙茶茶饮料,4,0,2024-01-22
-1,全国,SC0003,轻食,4320,牛肉芝士羊角三明治,4,0,2024-01-22
-1,全国,SC0006,原料,27423,龙眼果汁饮料,4,0,2024-01-22
-1,全国,SC0002,器具类,114,塑料垃圾铲带灰扫帚,3,1,2024-01-22
-1,全国,SC0004,包装类,4355,22oz注塑杯,4,0,2024-01-22
-1,全国,SC0006,原料,20856,栀子花绿茶茶包,4,0,2024-01-22
