INSERT INTO `lucky_cooperation`.`t_actuality_cup_commodity_day` (`year`, `record_date`, `wh_dept_id`, `commodity_id`, `type`, `cup_amount`, `create_user`, `create_time`, `update_user`, `update_time`) VALUES 
('2023', '2023-07-24', '327193', 5352, 10, 12.307924156951628, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '327193', 5352, 10, 5.338709017943812, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '327193', 5352, 10, 14.304905773124933, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '327193', 5352, 10, 2.5941244344110825, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '327193', 5352, 10, 10.491930623033191, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '327193', 5352, 10, 14.390506904787692, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '327193', 5352, 10, 8.028348491421795, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '327193', 5352, 10, 6.839267038946382, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '327193', 5352, 10, 16.23889002113764, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '327193', 5352, 10, 18.550149354417126, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '327193', 5352, 10, 14.486519045863396, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '327193', 5352, 10, 7.4712475458490735, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '327193', 5352, 10, 11.931779220857095, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '327193', 5352, 10, 2.0761694198436964, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '327193', 5352, 10, 3.5863487743904754, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '327193', 5352, 10, 19.065627651034024, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '327193', 5352, 10, 6.447605198597353, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '327193', 5352, 10, 10.564999411551753, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '327193', 5352, 10, 5.600689594598429, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '327193', 5352, 10, 13.627794691568074, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '327193', 5352, 10, 10.584606046208393, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '245971', 5352, 10, 15.205482000551033, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '245971', 5352, 10, 15.20019804700264, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '245971', 5352, 10, 18.573331169993857, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '245971', 5352, 10, 8.830239457417546, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '245971', 5352, 10, 18.126239046463233, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '245971', 5352, 10, 2.3777541378356593, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '245971', 5352, 10, 4.723519472696847, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '245971', 5352, 10, 10.286456987551844, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '245971', 5352, 10, 7.357581105697795, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '245971', 5352, 10, 9.260518097252026, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '245971', 5352, 10, 2.103043557075639, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '245971', 5352, 10, 4.949311053931309, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '245971', 5352, 10, 7.094652000061997, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '245971', 5352, 10, 8.850831937121344, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '245971', 5352, 10, 0.4606959574741154, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '245971', 5352, 10, 8.908571569088918, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '245971', 5352, 10, 12.290161474062092, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '245971', 5352, 10, 12.872114973385338, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '245971', 5352, 10, 19.77225133361426, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '245971', 5352, 10, 1.5457757534601035, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '245971', 5352, 10, 6.517423907485329, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '245871', 5352, 10, 7.935948754183735, 1, '2023-06-01', 1, '2023-06-01'),
