INSERT INTO `lucky_cooperation`.`t_actuality_cup_commodity_week` (`week_id`, `wh_dept_id`, `commodity_id`, `type`, `cup_amount`, `create_user`, `create_time`, `update_user`, `update_time`) VALUES 
('102', '327193', '5352', 10, 19.531590368949665, 1, '2023-06-01', 1, '2023-06-01'),
('103', '327193', '5352', 10, 0.9084193171677657, 1, '2023-06-01', 1, '2023-06-01'),
('104', '327193', '5352', 10, 18.825810381552735, 1, '2023-06-01', 1, '2023-06-01'),
('105', '327193', '5352', 10, 3.026163614605537, 1, '2023-06-01', 1, '2023-06-01'),
('106', '327193', '5352', 10, 16.254348171273573, 1, '2023-06-01', 1, '2023-06-01'),
('107', '327193', '5352', 10, 15.544126515654312, 1, '2023-06-01', 1, '2023-06-01'),
('108', '327193', '5352', 10, 6.994264445641436, 1, '2023-06-01', 1, '2023-06-01'),
('109', '327193', '5352', 10, 11.224809968922054, 1, '2023-06-01', 1, '2023-06-01'),
('102', '245971', '5352', 10, 0.02777925216504329, 1, '2023-06-01', 1, '2023-06-01'),
('103', '245971', '5352', 10, 9.221166766979788, 1, '2023-06-01', 1, '2023-06-01'),
('104', '245971', '5352', 10, 6.061501409118531, 1, '2023-06-01', 1, '2023-06-01'),
('105', '245971', '5352', 10, 5.929860348566686, 1, '2023-06-01', 1, '2023-06-01'),
('106', '245971', '5352', 10, 4.193131449414684, 1, '2023-06-01', 1, '2023-06-01'),
('107', '245971', '5352', 10, 18.038703123558296, 1, '2023-06-01', 1, '2023-06-01'),
('108', '245971', '5352', 10, 4.635108987488961, 1, '2023-06-01', 1, '2023-06-01'),
('109', '245971', '5352', 10, 8.18025886762092, 1, '2023-06-01', 1, '2023-06-01'),
('102', '245871', '5352', 10, 19.114509598324076, 1, '2023-06-01', 1, '2023-06-01'),
('103', '245871', '5352', 10, 15.475036540034681, 1, '2023-06-01', 1, '2023-06-01'),
('104', '245871', '5352', 10, 9.651247573823134, 1, '2023-06-01', 1, '2023-06-01'),
('105', '245871', '5352', 10, 1.4620820967325399, 1, '2023-06-01', 1, '2023-06-01'),
('106', '245871', '5352', 10, 7.850562665094321, 1, '2023-06-01', 1, '2023-06-01'),
('107', '245871', '5352', 10, 4.9619104866442605, 1, '2023-06-01', 1, '2023-06-01'),
('108', '245871', '5352', 10, 2.690560674808591, 1, '2023-06-01', 1, '2023-06-01'),
('109', '245871', '5352', 10, 11.745751379364862, 1, '2023-06-01', 1, '2023-06-01'),
('102', '326932', '5352', 10, 4.353911080877864, 1, '2023-06-01', 1, '2023-06-01'),
