INSERT INTO `lucky_cooperation`.`t_actuality_cup_goods` (`year`, `goods_id`, `type`, `january_num`, `february_num`, `march_num`, `april_num`, `may_num`, `june_num`, `july_num`, `august_num`, `september_num`, `october_num`, `november_num`, `december_num`, `total_num`, `create_user`, `create_time`, `update_user`, `update_time`, `wh_dept_id`) VALUES 
('2024', 42, 10, 0.47790618414764097, 0.2842110477641304, 0.3091150333763132, 0.15279362277798658, 0.4504994886601388, 0.09887511974597585, 0.7910206772952467, 0.31985236130617223, 0.06010977084068725, 0.28782604100519105, 0.8360496020818909, 0.7677125383946913, 4.835971487396065, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 42, 20, 9935225.2645555786, 8620952.9348038503, 8883266.5361526742, 9418286.7022547295, 9379748.5795805901, 9621671.8427087628, 9573487.7459944028, 9357408.1022373537, 9413875.8651932631, 9275450.1471229155, 8388300.5503224043, 8558341.9133353628, 110426016.1842618877, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 42, 40, 0.02622002470545537, 0.6162918989416745, 0.38457840592823367, 0.48994678967154615, 0.37838952122181047, 0.08150810283043353, 0.16849584946364193, 0.480886805629666, 0.3994594996063089, 0.7901203873190294, 0.9785744179188707, 0.6011856186021988, 5.395657321838869, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 48214, 10, 0.47952530561629225, 0.0006551301035697676, 0.11345509894735317, 0.2724991864916366, 0.3676829233737018, 0.00496958142417403, 0.7376645539837395, 0.6350575763449918, 0.46584641239154057, 0.6124284000188371, 0.8955663700593801, 0.8450582132556168, 5.430408752010833, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 48214, 20, 9494849.9885721657, 8493419.7747374110, 8859636.0640040494, 8785302.3741199545, 9247247.2686368407, 8962564.8329162570, 9629005.4568947575, 8917409.2633594102, 8808838.9088949231, 8669546.2815038808, 8894087.0213413608, 10143401.9094449971, 108905309.1444260078, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 48214, 40, 0.2742167217352005, 0.631141744336805, 0.07020750397507247, 0.7222289623466228, 0.457072436409511, 0.8778650028734752, 0.008093412077428752, 0.11014569160078547, 0.5919599159770247, 0.22413529629880524, 0.5531617950485673, 0.314594872671924, 4.834823355351222, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 82796, 10, 0.27089676663822015, 0.5643019778731934, 0.2905150454360794, 0.64372123281721, 0.006193481710194737, 0.6464761961312773, 0.9167190888089158, 0.30458316474294755, 0.04763570203506684, 0.7473809734012972, 0.0566561475865931, 0.7795847522865806, 5.274664529467576, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 82796, 20, 9553947.2139908778, 9374017.3341068891, 8346329.1771839120, 9374020.4588772278, 9118905.2417140063, 9072464.2065837236, 10448169.7630353769, 9255788.5758655423, 9574049.6392239116, 8306899.9273821687, 9639112.9392515051, 9189598.1471796433, 111253302.6243947845, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 82796, 30, 0.16295698263570968, 0.7727639276409329, 0.915758102364496, 0.1381411060024843, 0.5873567944483198, 0.11154692290329293, 0.45643811456668737, 0.6048835478925856, 0.9916986317637964, 0.2637080814604138, 0.8494341917627325, 0.724679417681411, 6.579365821122862, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 82796, 40, 0.8284723808597448, 0.12461396093057642, 0.6728004162056738, 0.6369704217611033, 0.031102414401988132, 0.38197916819095634, 0.6239153758766187, 0.815642999843661, 0.16710082815930927, 0.9098054803195199, 0.8606965625607288, 0.6879550302714418, 6.7410550393813224, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 44, 10, 0.1342289407773295, 0.9410866985018959, 0.13422543411890786, 0.4324750583542628, 0.0891172824575992, 0.6723616073928442, 0.09403247292406047, 0.4367421597130188, 0.9966946532888734, 0.6826822681188769, 0.3342674494590544, 0.15296529799634295, 5.100879323103067, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 44, 20, 8864686.2647352717, 8782743.6768051059, 8527215.9905495528, 9675429.3055188901, 8781721.1279945523, 9068123.7010471128, 9437780.4884131514, 9878790.4566523918, 8030187.2086659686, 8946190.4593208516, 8785297.6884310234, 8621733.5819948696, 107399899.9501287420, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 83070, 10, 0.17366970147659133, 0.9966566189813262, 0.3729637968386781, 0.5295306213411487, 0.46830201195320476, 0.7507824708914395, 0.2015764954264524, 0.8578513723656858, 0.8274608788477278, 0.01875750465284287, 0.893286728296605, 0.04105740249949419, 6.131895603571198, 1, '2023-06-01', 1, '2023-06-01', 327193),
('2024', 83070, 20, 9255206.9947651596, 8818843.5238457024, 10067080.6356784631, 9374947.9231273697, 10177506.9652646764, 8794849.2684302225, 9012000.3011940930, 9930058.2688283464, 8461098.1876811544, 8920395.0534476254, 9391680.9708658678, 9470352.5376121131, 111674020.6307407938, 1, '2023-06-01', 1, '2023-06-01', 327193),
