INSERT INTO `lucky_cooperation`.`t_actuality_cup_goods_week` (`week_id`, `wh_dept_id`, `goods_id`, `type`, `cup_amount`, `create_user`, `create_time`, `update_user`, `update_time`) VALUES 
(2, 327193, 42, 20, 1445103.6491586461, 1, '2023-06-01', 1, '2023-06-01'),
(3, 327193, 42, 20, 2483613.3408138783, 1, '2023-06-01', 1, '2023-06-01'),
(4, 327193, 42, 20, 1873180.6667829651, 1, '2023-06-01', 1, '2023-06-01'),
(5, 327193, 42, 20, 2230776.3330985574, 1, '2023-06-01', 1, '2023-06-01'),
(6, 327193, 42, 20, 145426.1792154044, 1, '2023-06-01', 1, '2023-06-01'),
(7, 327193, 42, 20, 1920267.3566682666, 1, '2023-06-01', 1, '2023-06-01'),
(8, 327193, 42, 20, 2301993.5344662428, 1, '2023-06-01', 1, '2023-06-01'),
(9, 327193, 42, 20, 2257969.1671349473, 1, '2023-06-01', 1, '2023-06-01'),
(10, 327193, 42, 20, 2124323.3444912263, 1, '2023-06-01', 1, '2023-06-01'),
(11, 327193, 42, 20, 208963.1375636525, 1, '2023-06-01', 1, '2023-06-01'),
(12, 327193, 42, 20, 1503138.9512265879, 1, '2023-06-01', 1, '2023-06-01'),
(13, 327193, 42, 20, 1669186.7350013524, 1, '2023-06-01', 1, '2023-06-01'),
(14, 327193, 42, 20, 2367842.7082451147, 1, '2023-06-01', 1, '2023-06-01'),
(15, 327193, 42, 20, 1745998.2768478911, 1, '2023-06-01', 1, '2023-06-01'),
(16, 327193, 42, 20, 1604283.1094062091, 1, '2023-06-01', 1, '2023-06-01'),
(17, 327193, 42, 20, 874096.4969014412, 1, '2023-06-01', 1, '2023-06-01'),
(18, 327193, 42, 20, 2508125.9963257114, 1, '2023-06-01', 1, '2023-06-01'),
(19, 327193, 42, 20, 2015086.3705117083, 1, '2023-06-01', 1, '2023-06-01'),
(20, 327193, 42, 20, 2266757.8895188736, 1, '2023-06-01', 1, '2023-06-01'),
(21, 327193, 42, 20, 1492098.5186519971, 1, '2023-06-01', 1, '2023-06-01'),
(22, 327193, 42, 20, 226061.5678714329, 1, '2023-06-01', 1, '2023-06-01'),
(23, 327193, 42, 20, 1743905.8909474724, 1, '2023-06-01', 1, '2023-06-01'),
(24, 327193, 42, 20, 1995322.8436671202, 1, '2023-06-01', 1, '2023-06-01'),
(25, 327193, 42, 20, 2573997.1927701576, 1, '2023-06-01', 1, '2023-06-01'),
(26, 327193, 42, 20, 2226430.9581836508, 1, '2023-06-01', 1, '2023-06-01'),
(27, 327193, 42, 20, 745991.6577449323, 1, '2023-06-01', 1, '2023-06-01'),
(28, 327193, 42, 20, 1313916.0812318561, 1, '2023-06-01', 1, '2023-06-01'),
(29, 327193, 42, 20, 2143608.1084577978, 1, '2023-06-01', 1, '2023-06-01'),
(30, 327193, 42, 20, 2191795.8339186942, 1, '2023-06-01', 1, '2023-06-01'),
(31, 327193, 42, 20, 2169731.5057618267, 1, '2023-06-01', 1, '2023-06-01'),
(32, 327193, 42, 20, 869477.8247210102, 1, '2023-06-01', 1, '2023-06-01'),
(33, 327193, 42, 20, 1040613.5746474872, 1, '2023-06-01', 1, '2023-06-01'),
(34, 327193, 42, 20, 2299914.2045677851, 1, '2023-06-01', 1, '2023-06-01'),
(35, 327193, 42, 20, 2022098.7221740276, 1, '2023-06-01', 1, '2023-06-01'),
