INSERT INTO `lucky_cooperation`.`t_actuality_cup_total_day` (`year`, `record_date`, `wh_dept_id`, `type`, `cup_amount`, `create_user`, `create_time`, `update_user`, `update_time`) VALUES 
('2023', '2023-07-24', '327193', 10, 19.959850259776204, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '327193', 10, 6.529706093763757, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '327193', 10, 13.619672555827345, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '327193', 10, 14.419183622054456, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '327193', 10, 16.635602850683505, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '327193', 10, 19.46054988548745, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '327193', 10, 5.831138633084305, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '327193', 10, 16.83756845425904, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '327193', 10, 14.751751072778013, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '327193', 10, 16.59557810492475, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '327193', 10, 3.02203381847324, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '327193', 10, 11.125384905651574, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '327193', 10, 1.0771279644776577, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '327193', 10, 3.6534029507658494, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '327193', 10, 12.671882404620927, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '327193', 10, 11.226188811106201, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '327193', 10, 6.624213055749175, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '327193', 10, 16.702902638038612, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '327193', 10, 0.015221725039586964, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '327193', 10, 1.09118915875559, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '327193', 10, 3.7732332403332314, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '245971', 10, 1.5634621071519317, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '245971', 10, 1.3083142045089269, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '245971', 10, 8.541170358537771, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '245971', 10, 12.41112982276052, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '245971', 10, 12.834140790697814, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '245971', 10, 7.975375518387747, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '245971', 10, 12.203244241392655, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '245971', 10, 13.146309749502148, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '245971', 10, 12.316353012492767, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '245971', 10, 13.094871501993445, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '245971', 10, 3.251949526002813, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '245971', 10, 14.359847083814124, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '245971', 10, 10.629172812523372, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '245971', 10, 5.340394234020087, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '245971', 10, 19.04591648632991, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '245971', 10, 6.8045918729232024, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '245971', 10, 0.8711391394626844, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '245971', 10, 16.601052957543473, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '245971', 10, 15.070446430476785, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '245971', 10, 14.674876851194142, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '245971', 10, 8.35388258703266, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '245871', 10, 8.154233738681086, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '245871', 10, 6.138101551833621, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '245871', 10, 7.644324215724563, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '245871', 10, 2.805074421850857, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '245871', 10, 14.213685681531476, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '245871', 10, 1.3437819529172468, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '245871', 10, 15.749157955910544, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '245871', 10, 4.493511838432378, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '245871', 10, 19.84011163284826, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '245871', 10, 6.9171898307158415, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '245871', 10, 8.93755585085332, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '245871', 10, 19.274430252258384, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '245871', 10, 1.8883419094949039, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '245871', 10, 2.02364329168347, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '245871', 10, 5.652737412591968, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '245871', 10, 17.86198734572863, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '245871', 10, 12.679619349040363, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '245871', 10, 3.7708000379180895, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '245871', 10, 0.1323259986417713, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '245871', 10, 17.979967217933012, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '245871', 10, 15.893508228208209, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '326932', 10, 4.252513626721148, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '326932', 10, 4.704427074094559, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '326932', 10, 7.219251978023104, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '326932', 10, 12.240255482253328, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '326932', 10, 19.10313653594347, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '326932', 10, 4.795413556968593, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '326932', 10, 7.856498351504619, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '326932', 10, 14.502662781657282, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '326932', 10, 19.24024121910567, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '326932', 10, 2.050944040455067, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '326932', 10, 0.9539366988915821, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '326932', 10, 8.035218708277597, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '326932', 10, 2.1609394972576013, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '326932', 10, 8.55499122582536, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '326932', 10, 1.886635729866113, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '326932', 10, 2.054914004747057, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '326932', 10, 1.4048768686058999, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '326932', 10, 14.405213223282338, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '326932', 10, 10.327688018708542, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '326932', 10, 14.120646439036848, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '326932', 10, 0.5339911649346929, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '326327', 10, 2.413790636257722, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '326327', 10, 8.910567850054775, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '326327', 10, 13.746247128127195, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '326327', 10, 15.095549660753091, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '326327', 10, 17.949918978634283, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '326327', 10, 9.287411609205991, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-30', '326327', 10, 15.298538463873253, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-31', '326327', 10, 15.15915150214151, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-01', '326327', 10, 0.11100329208929116, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-02', '326327', 10, 2.947822423230626, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-03', '326327', 10, 13.049276769257155, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-04', '326327', 10, 7.830367527001469, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-05', '326327', 10, 19.531581950015692, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-06', '326327', 10, 14.641686754474767, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-07', '326327', 10, 1.4465558642140697, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-08', '326327', 10, 5.918625820723335, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-09', '326327', 10, 18.20862018755737, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-10', '326327', 10, 3.100532300424621, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-11', '326327', 10, 17.839067147965785, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-12', '326327', 10, 5.603439095271057, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-08-13', '326327', 10, 2.487039034098244, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-24', '-1', 10, 18.93598150952926, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-25', '-1', 10, 19.113810732960626, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-26', '-1', 10, 9.204877168540515, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-27', '-1', 10, 13.564613159161512, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-28', '-1', 10, 13.376055666110336, 1, '2023-06-01', 1, '2023-06-01'),
('2023', '2023-07-29', '-1', 10, 16.22946492058172, 1, '2023-06-01', 1, '2023-06-01'),
