INSERT INTO `lucky_cooperation`.`t_actuality_cup_total_week` (`week_id`, `wh_dept_id`, `type`, `cup_amount`, `create_user`, `create_time`, `update_user`, `update_time`) VALUES 
('2', '327193', '10', 12.743692348457037, 1, '2023-06-01', 1, '2023-06-01'),
('3', '327193', '10', 16.444967153399, 1, '2023-06-01', 1, '2023-06-01'),
('4', '327193', '10', 17.856684086504497, 1, '2023-06-01', 1, '2023-06-01'),
('5', '327193', '10', 7.960137440636855, 1, '2023-06-01', 1, '2023-06-01'),
('6', '327193', '10', 8.629701361541148, 1, '2023-06-01', 1, '2023-06-01'),
('7', '327193', '10', 15.946072409002634, 1, '2023-06-01', 1, '2023-06-01'),
('8', '327193', '10', 17.32000960142695, 1, '2023-06-01', 1, '2023-06-01'),
('9', '327193', '10', 3.482601564359933, 1, '2023-06-01', 1, '2023-06-01'),
('10', '327193', '10', 11.641058511294851, 1, '2023-06-01', 1, '2023-06-01'),
('11', '327193', '10', 2.7809429028512267, 1, '2023-06-01', 1, '2023-06-01'),
('12', '327193', '10', 0.16990732524354346, 1, '2023-06-01', 1, '2023-06-01'),
('13', '327193', '10', 17.496993542540306, 1, '2023-06-01', 1, '2023-06-01'),
('14', '327193', '10', 17.688891624174563, 1, '2023-06-01', 1, '2023-06-01'),
('15', '327193', '10', 16.20285419884861, 1, '2023-06-01', 1, '2023-06-01'),
('16', '327193', '10', 4.483465664918507, 1, '2023-06-01', 1, '2023-06-01'),
('17', '327193', '10', 10.37561202010184, 1, '2023-06-01', 1, '2023-06-01'),
('18', '327193', '10', 9.935581800112043, 1, '2023-06-01', 1, '2023-06-01'),
('19', '327193', '10', 7.1754017512099395, 1, '2023-06-01', 1, '2023-06-01'),
('20', '327193', '10', 1.3620539578743784, 1, '2023-06-01', 1, '2023-06-01'),
('21', '327193', '10', 9.243551962717723, 1, '2023-06-01', 1, '2023-06-01'),
('22', '327193', '10', 13.58785473395084, 1, '2023-06-01', 1, '2023-06-01'),
('23', '327193', '10', 8.516473989650644, 1, '2023-06-01', 1, '2023-06-01'),
('24', '327193', '10', 18.730797199437706, 1, '2023-06-01', 1, '2023-06-01'),
('25', '327193', '10', 18.70923160679826, 1, '2023-06-01', 1, '2023-06-01'),
('26', '327193', '10', 16.11005966298638, 1, '2023-06-01', 1, '2023-06-01'),
('27', '327193', '10', 8.800298951459231, 1, '2023-06-01', 1, '2023-06-01'),
('28', '327193', '10', 8.32625386233734, 1, '2023-06-01', 1, '2023-06-01'),
('29', '327193', '10', 18.15625076161962, 1, '2023-06-01', 1, '2023-06-01'),
('30', '327193', '10', 3.8726835813116, 1, '2023-06-01', 1, '2023-06-01'),
('31', '327193', '10', 14.852974553010274, 1, '2023-06-01', 1, '2023-06-01'),
('32', '327193', '10', 19.04727071029183, 1, '2023-06-01', 1, '2023-06-01'),
('33', '327193', '10', 8.44659084107601, 1, '2023-06-01', 1, '2023-06-01'),
('34', '327193', '10', 10.233408147276617, 1, '2023-06-01', 1, '2023-06-01'),
('35', '327193', '10', 15.455586595148507, 1, '2023-06-01', 1, '2023-06-01'),
('36', '327193', '10', 4.540917687369723, 1, '2023-06-01', 1, '2023-06-01'),
('37', '327193', '10', 4.636124529641474, 1, '2023-06-01', 1, '2023-06-01'),
('38', '327193', '10', 4.7237579310072135, 1, '2023-06-01', 1, '2023-06-01'),
('39', '327193', '10', 10.810768603365844, 1, '2023-06-01', 1, '2023-06-01'),
('40', '327193', '10', 11.59606420923459, 1, '2023-06-01', 1, '2023-06-01'),
('41', '327193', '10', 19.458640243363696, 1, '2023-06-01', 1, '2023-06-01'),
('42', '327193', '10', 10.551399232733383, 1, '2023-06-01', 1, '2023-06-01'),
('43', '327193', '10', 9.005018233388045, 1, '2023-06-01', 1, '2023-06-01'),
('44', '327193', '10', 2.905274211629647, 1, '2023-06-01', 1, '2023-06-01'),
