INSERT INTO `lucky_cooperation`.`t_alg_new_demand_plan` (`wh_dept_id`, `goods_id`, `predict_date`, `pred_shop_consume`, `pred_shop_order`, `pred_wh_consume`, `pred_wh_cg`, `update_time`) VALUES 
(327193, 83625, '2023-01-01', 29567, 200, 20654, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-01', 17840, 200, 27358, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-01', 19504, 200, 22902, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-01', 16915, 200, 20374, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-01', 28171, 200, 21157, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-01', 23081, 200, 14038, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-02', 19056, 200, 20157, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-02', 26531, 200, 11214, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-02', 19769, 200, 29761, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-02', 13739, 200, 13161, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-02', 17591, 200, 13597, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-02', 22237, 200, 19409, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-03', 18593, 200, 11945, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-03', 14279, 200, 13694, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-03', 17598, 200, 22439, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-03', 13435, 200, 24090, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-03', 12226, 200, 27070, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-03', 14962, 200, 14554, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-04', 11190, 200, 16649, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-04', 16997, 200, 16236, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-04', 16033, 200, 25148, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-04', 20647, 200, 28275, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-04', 26401, 200, 26713, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-04', 29695, 200, 26067, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-05', 28426, 200, 12061, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-05', 27655, 200, 26344, 400, '2023-08-28 15:56:37'),
(245871, 83625, '2023-01-05', 27247, 200, 11613, 400, '2023-08-28 15:56:37'),
(326932, 83625, '2023-01-05', 29839, 200, 20370, 400, '2023-08-28 15:56:37'),
(326327, 83625, '2023-01-05', 19439, 200, 20691, 400, '2023-08-28 15:56:37'),
(245770, 83625, '2023-01-05', 17049, 200, 23532, 400, '2023-08-28 15:56:37'),
(327193, 83625, '2023-01-06', 18762, 200, 27269, 400, '2023-08-28 15:56:37'),
(245971, 83625, '2023-01-06', 14093, 200, 29897, 400, '2023-08-28 15:56:37'),
