INSERT INTO `lucky_cooperation`.`t_alg_purchase_normal_goods_demand` (`predict_dt`, `wh_dept_id`, `goods_id`, `demand`, `create_time`) VALUES 
('2022-01-01', 327193, 42, 155.79468186940483, '2023-06-01'),
('2022-01-01', 245971, 42, 429.0236028255671, '2023-06-01'),
('2022-01-01', 245871, 42, 392.39622425140095, '2023-06-01'),
('2022-01-01', 326932, 42, 138.61555683899817, '2023-06-01'),
('2022-01-01', 326327, 42, 189.36807677123446, '2023-06-01'),
('2022-01-01', -1, 42, 1305.1981425566055, '2023-06-01'),
('2022-01-02', 327193, 42, 92.77366833858713, '2023-06-01'),
('2022-01-02', 245971, 42, 419.04446305764344, '2023-06-01'),
('2022-01-02', 245871, 42, 280.0491066354762, '2023-06-01'),
('2022-01-02', 326932, 42, 944.4336671836259, '2023-06-01'),
('2022-01-02', 326327, 42, 161.64002304662228, '2023-06-01'),
('2022-01-02', -1, 42, 1897.940928261955, '2023-06-01'),
('2022-01-03', 327193, 42, 107.90812451171338, '2023-06-01'),
('2022-01-03', 245971, 42, 289.0195727104581, '2023-06-01'),
('2022-01-03', 245871, 42, 247.89537366653457, '2023-06-01'),
('2022-01-03', 326932, 42, 204.11804857823955, '2023-06-01'),
('2022-01-03', 326327, 42, 697.4359710160371, '2023-06-01'),
('2022-01-03', -1, 42, 1546.3770904829826, '2023-06-01'),
('2022-01-04', 327193, 42, 65.48469630201691, '2023-06-01'),
('2022-01-04', 245971, 42, 374.4375320204076, '2023-06-01'),
('2022-01-04', 245871, 42, 843.1272321043854, '2023-06-01'),
('2022-01-04', 326932, 42, 382.60438303648425, '2023-06-01'),
('2022-01-04', 326327, 42, 829.256260905473, '2023-06-01'),
('2022-01-04', -1, 42, 2494.910104368767, '2023-06-01'),
('2022-01-05', 327193, 42, 99.54663586279389, '2023-06-01'),
('2022-01-05', 245971, 42, 834.708027359463, '2023-06-01'),
('2022-01-05', 245871, 42, 488.64066424431405, '2023-06-01'),
('2022-01-05', 326932, 42, 493.9428743137759, '2023-06-01'),
('2022-01-05', 326327, 42, 998.7170024183785, '2023-06-01'),
('2022-01-05', -1, 42, 2915.5552041987253, '2023-06-01'),
('2022-01-06', 327193, 42, 3.8368381113356165, '2023-06-01'),
('2022-01-06', 245971, 42, 661.4439367974194, '2023-06-01'),
('2022-01-06', 245871, 42, 716.0087261899705, '2023-06-01'),
('2022-01-06', 326932, 42, 48.556285595889314, '2023-06-01'),
('2022-01-06', 326327, 42, 587.453620129116, '2023-06-01'),
('2022-01-06', -1, 42, 2017.2994068237306, '2023-06-01'),
('2022-01-07', 327193, 42, 675.3710358242513, '2023-06-01'),
('2022-01-07', 245971, 42, 620.9264480484035, '2023-06-01'),
('2022-01-07', 245871, 42, 130.12368266290642, '2023-06-01'),
('2022-01-07', 326932, 42, 308.2053871933597, '2023-06-01'),
('2022-01-07', 326327, 42, 534.6217481290116, '2023-06-01'),
('2022-01-07', -1, 42, 2269.2483018579323, '2023-06-01'),
('2022-01-08', 327193, 42, 367.6982394695241, '2023-06-01'),
('2022-01-08', 245971, 42, 59.618363434449925, '2023-06-01'),
('2022-01-08', 245871, 42, 498.4530539121048, '2023-06-01'),
('2022-01-08', 326932, 42, 43.752023267930596, '2023-06-01'),
('2022-01-08', 326327, 42, 873.9927240603668, '2023-06-01'),
('2022-01-08', -1, 42, 1843.5144041443762, '2023-06-01'),
('2022-01-09', 327193, 42, 654.3652168468485, '2023-06-01'),
('2022-01-09', 245971, 42, 146.20297563901175, '2023-06-01'),
('2022-01-09', 245871, 42, 724.4857512228164, '2023-06-01'),
('2022-01-09', 326932, 42, 611.6175377565997, '2023-06-01'),
('2022-01-09', 326327, 42, 763.1611143602296, '2023-06-01'),
('2022-01-09', -1, 42, 2899.832595825506, '2023-06-01'),
('2022-01-10', 327193, 42, 651.7994976940101, '2023-06-01'),
('2022-01-10', 245971, 42, 588.5898064018123, '2023-06-01'),
('2022-01-10', 245871, 42, 173.37599594534925, '2023-06-01'),
('2022-01-10', 326932, 42, 371.96213639860696, '2023-06-01'),
