INSERT INTO `lucky_cooperation`.`t_bi_warehouse_commodity_sale_shop_day` (`wh_dept_id`, `commodity_id`, `mark_type`, `type`, `year`, `record_date`, `amount`, `create_time`) VALUES 
(327193, 5990, 1, 10, 2022, '2022-01-01', 20.1, '2023-06-01 00:00:00'),
(327193, 5990, 1, 20, 2022, '2022-01-01', 17.1, '2023-06-01 00:00:00'),
(327193, 5990, 1, 30, 2022, '2022-01-01', 37.2, '2023-06-01 00:00:00'),
(327193, 6192, 1, 10, 2022, '2022-01-01', 12.1, '2023-06-01 00:00:00'),
(327193, 6192, 1, 20, 2022, '2022-01-01', 12.1, '2023-06-01 00:00:00'),
(327193, 6192, 1, 30, 2022, '2022-01-01', 24.2, '2023-06-01 00:00:00'),
(327193, 5352, 2, 10, 2022, '2022-01-01', 10.1, '2023-06-01 00:00:00'),
(327193, 5352, 2, 20, 2022, '2022-01-01', 11.1, '2023-06-01 00:00:00'),
(327193, 5352, 2, 30, 2022, '2022-01-01', 21.2, '2023-06-01 00:00:00'),
(245971, 5990, 1, 10, 2022, '2022-01-01', 17.1, '2023-06-01 00:00:00'),
(245971, 5990, 1, 20, 2022, '2022-01-01', 18.1, '2023-06-01 00:00:00'),
(245971, 5990, 1, 30, 2022, '2022-01-01', 35.2, '2023-06-01 00:00:00'),
(245971, 6192, 1, 10, 2022, '2022-01-01', 14.1, '2023-06-01 00:00:00'),
(245971, 6192, 1, 20, 2022, '2022-01-01', 10.1, '2023-06-01 00:00:00'),
(245971, 6192, 1, 30, 2022, '2022-01-01', 24.2, '2023-06-01 00:00:00'),
(245971, 5352, 2, 10, 2022, '2022-01-01', 13.1, '2023-06-01 00:00:00'),
(245971, 5352, 2, 20, 2022, '2022-01-01', 13.1, '2023-06-01 00:00:00'),
(245971, 5352, 2, 30, 2022, '2022-01-01', 26.2, '2023-06-01 00:00:00'),
(245871, 5990, 1, 10, 2022, '2022-01-01', 16.1, '2023-06-01 00:00:00'),
(245871, 5990, 1, 20, 2022, '2022-01-01', 10.1, '2023-06-01 00:00:00'),
(245871, 5990, 1, 30, 2022, '2022-01-01', 26.2, '2023-06-01 00:00:00'),
(245871, 6192, 1, 10, 2022, '2022-01-01', 14.1, '2023-06-01 00:00:00'),
(245871, 6192, 1, 20, 2022, '2022-01-01', 17.1, '2023-06-01 00:00:00'),
