INSERT INTO `lucky_cooperation`.`t_bi_warehouse_commodity_sale_shop_week` (`wh_dept_id`, `commodity_id`, `mark_type`, `type`, `year`, `week_id`, `amount`, `create_time`) VALUES 
(327193, 5990, 1, 10, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(327193, 5990, 1, 20, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(327193, 5990, 1, 30, 2022, 2, 281.4, '2023-06-01 00:00:00'),
(327193, 6192, 1, 10, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(327193, 6192, 1, 20, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(327193, 6192, 1, 30, 2022, 2, 281.4, '2023-06-01 00:00:00'),
(327193, 5352, 2, 10, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(327193, 5352, 2, 20, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(327193, 5352, 2, 30, 2022, 2, 281.4, '2023-06-01 00:00:00'),
(245971, 5990, 1, 10, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(245971, 5990, 1, 20, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(245971, 5990, 1, 30, 2022, 2, 281.4, '2023-06-01 00:00:00'),
(245971, 6192, 1, 10, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(245971, 6192, 1, 20, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(245971, 6192, 1, 30, 2022, 2, 281.4, '2023-06-01 00:00:00'),
(245971, 5352, 2, 10, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(245971, 5352, 2, 20, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(245971, 5352, 2, 30, 2022, 2, 281.4, '2023-06-01 00:00:00'),
(245871, 5990, 1, 10, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(245871, 5990, 1, 20, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(245871, 5990, 1, 30, 2022, 2, 281.4, '2023-06-01 00:00:00'),
(245871, 6192, 1, 10, 2022, 2, 140.7, '2023-06-01 00:00:00'),
(245871, 6192, 1, 20, 2022, 2, 140.7, '2023-06-01 00:00:00'),
