INSERT INTO `lucky_cooperation`.`t_bi_warehouse_shop_detail` (`record_date`, `wh_dept_id`, `self_num`, `agent_num`, `total_num`, `self_operating_num`, `agent_operating_num`, `total_operating_num`, `operating_rate`, `create_time`) VALUES
('2023-07-01', 327193, 205, 129, 334, 253, 206, 459, 0.9, '2023-06-01'),
('2023-07-01', 245971, 272, 204, 476, 97, 85, 182, 0.9, '2023-06-01'),
('2023-07-01', 245871, 292, 149, 441, 295, 92, 387, 0.9, '2023-06-01'),
('2023-07-01', 326932, 180, 169, 349, 115, 82, 197, 0.9, '2023-06-01'),
('2023-07-01', 326327, 72, 30, 102, 166, 89, 255, 0.9, '2023-06-01'),
('2023-07-01', -1, 161, 74, 235, 199, 94, 293, 0.9, '2023-06-01'),
('2023-07-02', 327193, 246, 55, 301, 194, 194, 388, 0.9, '2023-06-01'),
('2023-07-02', 245971, 115, 28, 143, 118, 82, 200, 0.9, '2023-06-01'),
('2023-07-02', 245871, 156, 66, 222, 78, 64, 142, 0.9, '2023-06-01'),
('2023-07-02', 326932, 193, 36, 229, 160, 145, 305, 0.9, '2023-06-01'),
('2023-07-02', 326327, 112, 36, 148, 249, 242, 491, 0.9, '2023-06-01'),
('2023-07-02', -1, 58, 20, 78, 65, 62, 127, 0.9, '2023-06-01'),
('2023-07-03', 327193, 145, 24, 169, 180, 84, 264, 0.9, '2023-06-01'),
('2023-07-03', 245971, 241, 219, 460, 87, 80, 167, 0.9, '2023-06-01'),
('2023-07-03', 245871, 159, 24, 183, 135, 18, 153, 0.9, '2023-06-01'),
('2023-07-03', 326932, 68, 14, 82, 197, 19, 216, 0.9, '2023-06-01'),
('2023-07-03', 326327, 242, 31, 273, 269, 261, 530, 0.9, '2023-06-01'),
('2023-07-03', -1, 137, 62, 199, 72, 13, 85, 0.9, '2023-06-01'),
('2023-07-04', 327193, 246, 179, 425, 178, 49, 227, 0.9, '2023-06-01'),
('2023-07-04', 245971, 176, 15, 191, 176, 149, 325, 0.9, '2023-06-01'),
('2023-07-04', 245871, 152, 68, 220, 51, 35, 86, 0.9, '2023-06-01'),
('2023-07-04', 326932, 138, 89, 227, 184, 99, 283, 0.9, '2023-06-01'),
('2023-07-04', 326327, 270, 27, 297, 253, 60, 313, 0.9, '2023-06-01'),
('2023-07-04', -1, 224, 36, 260, 208, 134, 342, 0.9, '2023-06-01'),
('2023-07-05', 327193, 177, 59, 236, 269, 100, 369, 0.9, '2023-06-01'),
('2023-07-05', 245971, 233, 231, 464, 180, 135, 315, 0.9, '2023-06-01'),
('2023-07-05', 245871, 207, 120, 327, 293, 93, 386, 0.9, '2023-06-01'),
('2023-07-05', 326932, 146, 14, 160, 185, 35, 220, 0.9, '2023-06-01'),
('2023-07-05', 326327, 196, 112, 308, 195, 10, 205, 0.9, '2023-06-01'),
('2023-07-05', -1, 97, 20, 117, 178, 86, 264, 0.9, '2023-06-01'),
('2023-07-06', 327193, 97, 31, 128, 65, 29, 94, 0.9, '2023-06-01'),
('2023-07-06', 245971, 270, 183, 453, 118, 30, 148, 0.9, '2023-06-01'),
('2023-07-06', 245871, 193, 158, 351, 293, 186, 479, 0.9, '2023-06-01'),
('2023-07-06', 326932, 273, 111, 384, 239, 166, 405, 0.9, '2023-06-01'),
('2023-07-06', 326327, 86, 36, 122, 273, 106, 379, 0.9, '2023-06-01'),
